FIPS
41940
35620
14460
42660
31080
19820
37980
16980
33460
38900
26420
19100
41180
47900
35980
26900
17140
12580
20500
37100
28140
41620
19740
18140
14860
16740
31540
38300
31700
37900
14260
10580
17460
14500
40380
46060
45300
37340
39300
26620
49340
40140
16300
36740
14010
29540
36260
10420
39340
19780
10900
28020
48620
41700
35300
22660
40060
42200
45060
27260
24660
17820
36780
11460
36540
34980
18020
33220
10740
32820
19340
30460
16700
42340
29820
41860
41740
12420
12060
38060
39580
40900
33100
45940
25540
33340
15380
24340
11260
29620
22420
42220
35660
41540
24860
12540
46140
49180
