,Metro Area,I,U,K,GDP,POP,FIPS,Type
47,"Akron, OH",626,113684,357.5,32080122,704382,10420,Metropolitan Statistical Area
31,"Albany-Schenectady-Troy, NY",1256,241047,1387,50654280,879085,10580,Metropolitan Statistical Area
69,"Albuquerque, NM",385,232271,314,37189493,906026,10740,Metropolitan Statistical Area
50,"Allentown-Bethlehem-Easton, PA-NJ",567,37863,248,39178397,830295,10900,Metropolitan Statistical Area
63,"Ann Arbor, MI",437,1371039,714.5,20096509,362975,11460,Metropolitan Statistical Area
17,"Baltimore-Columbia-Towson, MD",2971,1436,824.1666666,171574554,2790053,12580,Metropolitan Statistical Area
44,"Bloomington, IL",713,345,192,11869056,173141,14010,Metropolitan Statistical Area
30,"Boise City, ID",1416,858,497,26920017,674640,14260,Metropolitan Statistical Area
2,"Boston-Cambridge-Newton, MA-NH",20282,14726,5507.5,381287879,4778340,14460,Metropolitan Statistical Area
33,"Boulder, CO",1160,420775,735.5,22669578,318027,14500,Metropolitan Statistical Area
24,"Bridgeport-Stamford-Norwalk, CT",1683,6954,648,78667116,944943,14860,Metropolitan Statistical Area
42,"Cedar Rapids, IA",773,433,197.5,16794211,266312,16300,Metropolitan Statistical Area
76,"Charleston-North Charleston, SC",315,254524,114,33460560,745185,16700,Metropolitan Statistical Area
25,"Charlotte-Concord-Gastonia, NC-SC",1565,1026,555,136879027,2447898,16740,Metropolitan Statistical Area
7,"Chicago-Naperville-Elgin, IL-IN-WI",9450,7693,2757,589049966,9552554,16980,Metropolitan Statistical Area
16,"Cincinnati, OH-KY-IN",3595,0,1148.5,117808842,2181427,17140,Metropolitan Statistical Area
32,"Cleveland-Elyria, OH",1254,201,787,115773490,2064012,17460,Metropolitan Statistical Area
61,"Colorado Springs, CO",447,47561,190,31033614,697389,17820,Metropolitan Statistical Area
66,"Columbus, IN",419,0,108,5804117,81458,18020,Metropolitan Statistical Area
23,"Columbus, OH",1792,819134,457.0000001,108502678,2027568,18140,Metropolitan Statistical Area
11,"Dallas-Fort Worth-Arlington, TX",5520,748804,2063.183333,425323274,7042566,19100,Metropolitan Statistical Area
72,"Davenport-Moline-Rock Island, IA-IL",374,2193,100,20265104,383381,19340,Metropolitan Statistical Area
22,"Denver-Aurora-Lakewood, CO",1802,590,1168,175076489,2812896,19740,Metropolitan Statistical Area
49,"Des Moines-West Des Moines, IA",577,2126,194,43066102,659522,19780,Metropolitan Statistical Area
5,"Detroit-Warren-Dearborn, MI",13449,1882,3291,224508971,4309673,19820,Metropolitan Statistical Area
80,"Dubuque, IA",292,0,62.5,5185679,96850,20220,Metropolitan Statistical Area
18,"Durham-Chapel Hill, NC",2744,4197,959.5,46232027,607706,20500,Metropolitan Statistical Area
73,"Flagstaff, AZ",364,35206,51.5,6251840,138962,22380,Metropolitan Statistical Area
55,"Fort Collins, CO",516,0,307,14784676,333303,22660,Metropolitan Statistical Area
60,"Greensboro-High Point, NC",477,58198,126,37580901,751285,24660,Metropolitan Statistical Area
78,"Harrisburg-Carlisle, PA",314,5794,118,34583787,564678,25420,Metropolitan Statistical Area
10,"Houston-The Woodlands-Sugar Land, TX",5865,1571,1773.166667,442705932,6671808,26420,Metropolitan Statistical Area
39,"Huntsville, AL",934,118706,172.5,23040190,444542,26620,Metropolitan Statistical Area
15,"Indianapolis-Carmel-Anderson, IN",4073,653,701.5,117079734,1986119,26900,Metropolitan Statistical Area
