,Metro Area,I,U,K,GDP,POP,FIPS,Type
87,"Grand Rapids-Kentwood, MI",723.0,44578.0,355.0,53368797,1063670,24340,Metropolitan Statistical Area
88,"Anchorage, AK",715.0,22109.0,24.0,22194342,400570,11260,Metropolitan Statistical Area
89,"Lansing-East Lansing, MI",710.0,694917.0,66.0,21810294,548380,29620,Metropolitan Statistical Area
90,"Flint, MI",655.0,5699.0,95.0,13162959,407488,22420,Metropolitan Statistical Area
91,"Santa Rosa-Petaluma, CA",513.0,765.0,160.0,27421167,502469,42220,Metropolitan Statistical Area
92,"Niles, MI",469.0,966.0,114.0,6828838,154128,35660,Metropolitan Statistical Area
93,"Salisbury, MD-DE",406.0,,19.0,21898288,404155,41540,Metropolitan Statistical Area
94,"Greenville-Anderson, SC",401.0,,337.5,39816849,895357,24860,Metropolitan Statistical Area
95,"Bakersfield, CA",377.0,4652.0,56.0,50226164,887356,12540,Metropolitan Statistical Area
96,"Tulsa, OK",302.0,28295.0,133.0,51847954,991330,46140,Metropolitan Statistical Area
97,"Winston-Salem, NC",817.5,183802.0,143.0,29500651,666640,49180,Metropolitan Statistical Area
